epoch,accuracy,f1_score,learning_rate,loss,val_accuracy,val_f1_score,val_loss
0,0.4231078326702118,0.3931674063205719,0.0010000000474974513,1.4114850759506226,0.7237635850906372,0.6746067404747009,0.8193705677986145
1,0.587658703327179,0.553909182548523,0.0010000000474974513,1.0050055980682373,0.7997587323188782,0.7712266445159912,0.6488169431686401
2,0.6619797348976135,0.6288896799087524,0.0010000000474974513,0.8426011204719543,0.8258946537971497,0.8004207611083984,0.5563915967941284
3,0.6986180543899536,0.6654118299484253,0.0010000000474974513,0.7564181089401245,0.8500201106071472,0.8284308910369873,0.48870688676834106
4,0.7194279432296753,0.6882461309432983,0.0010000000474974513,0.6967657208442688,0.8717330098152161,0.8519916534423828,0.4399610459804535
5,0.7457817792892456,0.7162702679634094,0.0010000000474974513,0.6466926336288452,0.8793727159500122,0.8600216507911682,0.40886014699935913
6,0.7516471147537231,0.7213588953018188,0.0010000000474974513,0.6228799223899841,0.8833936452865601,0.8641862869262695,0.3873457610607147
7,0.7610477209091187,0.7317489385604858,0.0010000000474974513,0.5940879583358765,0.8978689312934875,0.8793585300445557,0.35433676838874817
8,0.7749477624893188,0.7464271783828735,0.0010000000474974513,0.5694493055343628,0.9043023586273193,0.8863797187805176,0.3361084461212158
9,0.7937489748001099,0.7644281387329102,0.0010000000474974513,0.5325574278831482,0.9091274738311768,0.8924373388290405,0.3206515312194824
10,0.8025871515274048,0.7747877240180969,0.0010000000474974513,0.514292299747467,0.912344217300415,0.895728349685669,0.3047082722187042
11,0.8014622926712036,0.7721942663192749,0.0010000000474974513,0.5127053260803223,0.9199839234352112,0.9035114049911499,0.28870612382888794
12,0.8084524869918823,0.780429482460022,0.0010000000474974513,0.4995475709438324,0.9151588082313538,0.8989251852035522,0.28309962153434753
13,0.8198618292808533,0.7931891679763794,0.0010000000474974513,0.4699438214302063,0.9207881093025208,0.9039897322654724,0.2719569206237793
14,0.822593629360199,0.7970916032791138,0.0010000000474974513,0.4501582086086273,0.9260152578353882,0.9102393388748169,0.2587513327598572
15,0.8326370120048523,0.8083158135414124,0.0010000000474974513,0.44596952199935913,0.9344592094421387,0.9187002778053284,0.24216808378696442
16,0.830065906047821,0.8040542602539062,0.0010000000474974513,0.44508984684944153,0.9344592094421387,0.9180251955986023,0.23719289898872375
17,0.8352884650230408,0.8102716207504272,0.0010000000474974513,0.4285065829753876,0.9388821721076965,0.922838032245636,0.2281932681798935
18,0.8412341475486755,0.8159212470054626,0.0010000000474974513,0.4170277714729309,0.9412947297096252,0.9255844950675964,0.21996645629405975
19,0.8465370535850525,0.8208000063896179,0.0010000000474974513,0.40947824716567993,0.9372738003730774,0.9208971261978149,0.22164899110794067
20,0.8466977477073669,0.8228855133056641,0.0010000000474974513,0.4024607539176941,0.9400884509086609,0.9243521094322205,0.21534083783626556
21,0.8509561419487,0.8276141285896301,0.0010000000474974513,0.3924814462661743,0.9449135661125183,0.929362416267395,0.20293059945106506
22,0.8498312830924988,0.8269317150115967,0.0010000000474974513,0.3889025151729584,0.9481302499771118,0.9336638450622559,0.19259248673915863
23,0.8563393950462341,0.8328126668930054,0.0010000000474974513,0.3732318580150604,0.9485323429107666,0.9342327117919922,0.19070035219192505
